单词,等价词,汉语解释
benevolence,"altruism, magnanimity",仁慈，善行
betray,evince,背叛，显露
bitterness,acrimony,怨恨，辛酸
bland,vapid,平淡无奇的
blatant,"conspicuous, shameless",公然的，明目张胆的
bound,circumscribed,受限的
bountiful,fertile,丰富的，慷慨的
brake,check,刹车，阻碍
brazen,barefaced,厚颜无耻的
brief,perfunctory,简短的
broach,propose,提出，开启探讨
bromide,platitude,陈词滥调
bucolic,rustic,田园的，乡村的
buoy,sustain,支持，鼓励
buttress,reinforce,支持，加固
byproduct,progeny,副产品
calamitous,destructive,灾难性的
calculated,contrived,蓄意的，深思熟虑的
callowness,naïveté,不成熟，青涩
calm,quiescence,平静的
calumnious,defamatory,诽谤的
canard,fabrication,虚假谣言
caper,antic,雀跃，雀跃嬉戏
capricious,inconstant,反复无常的
capriciousness,"fickleness, volatility",反复无常
careful,judicious,小心的，审慎的
careless,impetuous,粗心的，草率的
cause,trigger,引起，导致
caustic,stinging,尖刻的，腐蚀性的
cede,"leave, surrender",割让，让出
censor,suppress,审查，删改
censure,lambast,谴责，斥责
cerebral,dispassionate,理性的，大脑的
certainty,confidence,确定性
challenge,"flout, obstacle",质疑，挑战
champion,promoter,支持，倡导者
characteristic,"emblematic, unique",典型的，特征
charitable,forbearing,宽容的，慈善的
chasten,humble,惩戒，使收敛
check,"brake, curb",抑制，阻止
chicanery,subterfuge,诡计，欺诈
chimerical,fanciful,空想的，荒诞的
choleric,irascible,易怒的
chronicler,annalist,编年史记录者
churlish,ungracious,无礼粗鲁的
circuitous,meandering,迂回曲折的
circumscribe,demarcate,限制，约束
circumscribed,bound,受限制的
circumspect,precise,谨慎小心的
clarity,lucidity,清晰，明了
clear,lucid,清晰的
clever,smart,聪明的
cloying,saccharine,甜腻的，令人腻烦的
coalesce around,rally behind,团结在…周围
codify,formalize,编纂，使系统化
coercive,imperious,强迫的，强制的
collapse,dwindle,崩溃，暴跌
colossal,prodigious,巨大的
combative,contentious,好斗的
commensurate,tantamount,相当的，相称的
commonplace,prosaic,司空见惯的
compatible,consistent,兼容的，一致的
compel,drive,强迫，驱使
competing,antagonistic,竞争的，相互冲突的
complaisant,tractable,顺从的，讨好的
complement,reinforce,补充，补足
complex,"conflicted, heterogeneous, nuanced",复杂的
complexity,intricacy,复杂性
complicated,involved,复杂的
composure,imperturbability,镇静，沉着
comprehend,fathom,理解，包含
conceivable,imaginable,可想象的
conceptual,theoretical,概念上的
concision,"economy, pithiness",简洁
conditional,provisional,有条件的
conducive,"essential, unfavorable",有助的，有益的
confidence,certainty,信心，确信
confirm,corroborate,证实，确认
conflicted,complex,冲突的，矛盾的
conflicting,incompatible,相冲突的
confound,stymie,使困惑，混淆
conjectural,speculative,推测的
connected,allied,相关的，连接的
consequence,result,后果，重要性
consequential,distinguished,重要的，随之发生的
considerable,significant,相当大的，重要的
consideration,deliberation,深思，考虑
consistent,"compatible, regular",一致的，始终如一的
conspicuous,blatant,显眼的，引人注目的
constant,invariable,恒定的，持续的
construct,engender,构建，创造
contemporary,topical,当代的，同时代的
contemptuous,supercilious,蔑视的
contentious,"combative, fraught, tendentious",有争议的，好争论的
contest,dispute,质疑，争辩
contingent,"relative, uncertain",依情况而定的
continuity,persistence,连续性
continuous,unremitting,连续的
contradict,gainsay,反驳，与…相矛盾
contravene,gainsay,触犯，违反
contrivance,invention,发明，计谋
contrive,devise,设计，谋划
contrived,"artificial, calculated",做作的，不自然的
controversial,"polarizing, provocative",有争议的
convenient,expedient,方便的，适宜的
conventional,"mainstream, normative",传统的，常规的
convey,impart,传达，表达
cooperatively,harmoniously,合作地
copious,superabundant,丰富的，大量的
correct,accurate,正确的
corrective,antidote,矫正的，对策
corroborate,"confirm, verify",证实，确证
corrupt,debase,腐化，堕落的
counterbalance,offset,抵消，抗衡
courageous,plucky,勇敢的
court,woo,招致，献殷勤
covert,furtive,隐蔽的，秘密的
cowardly,craven,胆怯的
craft,cunning,狡诈，技艺
craven,"cowardly, timorous",懦弱胆小的
credulity,naïveté,轻信
credulous,"gullible, trusting",轻信的
crooked,venal,不诚实的，弯曲的
crude,basic,粗糙的，天然的
cryptic,"enigmatic, inscrutable",神秘晦涩的
cumulative,additive,累积的
cunning,craft,狡猾的，精巧的
curb,check,抑制，控制
curious,peculiar,好奇的，古怪的
curtail,diminish,缩减，削减
cynical,jaded,愤世嫉俗的，怀疑的
dampen,"impede, palliate",抑制，弄湿
darkening,dimming,变暗，变模糊
deadlock,protract,僵局，停滞
debase,corrupt,贬低，贬值
deceptive,specious,欺骗性的
decisive,marked,决定性的，果断的
decline,deteriorate,衰退，婉拒
decry,"disparage, reprehend",谴责，斥责
defamatory,calumnious,诽谤的
defender,partisan,支持者，防御者
deficiency,inadequacy,缺乏，不足
deficient,wanting,匮乏的，欠缺的
defray,pay,支付，结算
deliberation,consideration,深思熟虑
demarcate,circumscribe,划定界限
demarcation,lines,界线，划分
demystification,elucidation,去神秘化，阐明
demystify,elucidate,使非神秘化，澄清
denunciation,indictment,公开谴责
dependent,undergirded,依赖的，从属的
deprecation,trivialization,轻视，贬低
deride,"lambast, scorn",嘲弄，嘲笑
derive,stem,源于，获得
derogatory,belittling,贬损的
desiccated,parched,干燥的，枯燥的
destitute,impecunious,贫困的，缺乏的
destructive,calamitous,破坏性的
deteriorate,decline,恶化，退化
determination,"resolution, resolve",决心，测定
deviate,disregard,偏离，脱离
devise,contrive,设计，发明
diagnostic,revealing,诊断的，特征性的
dictum,aphorism,格言，宣言
didactic,moralizing,说教的
differentiated,stratified,分化的，有差异的
difficult,enigmatic,困难的，费解的
diffuse,"amorphous, scattered, unfocused",扩散的，冗长的
digression,tangent,离题
diligent,assiduous,勤奋的
dilute,weaken,稀释，削弱
diminish,"attenuate, curtail, undermine",减少，贬低
dimming,darkening,变暗，逐渐暗淡
disagreement,divergence,意见不一，分歧
disallow,"ban, proscribe",禁止，驳回
disavow,renounce,否认，宣布放弃
disbelieve,doubt,不信，怀疑
discard,shelve,丢弃，抛弃
discerning,"accurate, perceptive, selective, sensitive",有洞察力的，敏锐的
discernment,perspicacity,洞察力，辨别力
discord,tension,不和，争执
discrete,"isolated, separate",分离独立的
discretionary,modest,自由决定的，自主的
discriminating,judicious,有辨别力的
disdain,scorn,蔑视，鄙视
disentangle,sunder,理顺，解脱
dishonest,unscrupulous,不诚实的
disinformation,mendacity,假消息，虚假信息
dismiss,"disparage, dispel",驳回，不予考虑
dismissive,scornful,轻蔑的，不屑一顾的
disown,flout,否认，断绝关系
disparage,"bemoan, decry, dismiss, scorn",贬低，轻蔑
disparate,"divergent, inconsonant",截然不同的
disparateness,heterogeneity,差异，不同
disparity,"imbalance, variance",差距，不平等
dispassionate,cerebral,客观冷静的
dispel,dismiss,驱散，消除
displace,supplant,取代，迫使离开
disposed,eager,有倾向的
disposition,proclivity,性格，倾向
dispute,"contest, gainsay",争议，争执
disregard,deviate,无视，漠视
disruption,perturbation,中断，混乱
dissembling,mendacity,掩饰，虚伪
dissimilar,divergent,不同的
dissipate,abate,消散，挥霍
dissonant,incongruent,不和谐的，不一致的
distill,extract,提炼，蒸馏
distinguished,consequential,卓越的，著名的
distortion,noise,扭曲，失真
distracting,diverting,令人分心的
distraction,diversion,分心，消遣
distrust,question,不信任，怀疑
disturbing,alarming,令人不安的
divergence,disagreement,分歧，差异
divergent,"disparate, dissimilar",分歧的，不同的
diverse,manifold,多样化的
diversion,distraction,消遣，转移
diversity,variety,多样性
diverting,distracting,有趣的，消遣的
divest,strip,剥夺，摆脱
divorce,abstract,使分离，断绝
doggedness,tenacity,顽强，坚毅
dogmatic,orthodox,教条主义的，武断的
dominant,abundant,占主导的，优势的
doubt,"disbelieve, reservation",怀疑
downplay,unexplored,轻描淡写，低估
dramatic,striking,戏剧性的，引人注目的
drive,compel,驱使，动力
dubious,"skeptical, unwarranted",怀疑的，可疑的
dwindle,collapse,减少，缩小
eager,disposed,渴望的，热切的
early,precocious,早期的，早熟的
earnestness,sincerity,真诚，认真
eclectic,"heterogeneous, miscellaneous, wide-ranging",多元的，兼收并蓄的
eclecticism,hybridity,折中主义，多元融合
economy,"concision, parsimony",节约，精炼
ecstatic,euphoric,狂喜的
efficacy,"sufficiency, usefulness",功效，效力
effusive,fulsome,热情洋溢的
egg on,encourage,煽动，鼓动
elastic,accommodating,有弹性的，灵活的
elated,thrilled,兴高采烈的
elegiac,mournful,哀悼的，挽歌的
elegy,requiem,挽歌，哀歌
elevated,lofty,高尚的，崇高的
eliminate,foreclose,消除，淘汰
elision,"lacuna, omission",省略，删减
elucidate,demystify,阐明，解释
elucidation,"demystification, explication",阐明，解释
elusive,unattainable,难懂的，难以捉摸的
emancipatory,liberating,解放的
emblematic,characteristic,象征的，代表性的
embrace,esteem,欣然接受，拥抱
embryonic,undeveloped,萌芽阶段的，初期的
eminence,stature,杰出，显赫
encourage,"egg on, foster",鼓励，促进
encyclopedic,polymathic,博学的，渊博的
enduring,abiding,持久的
engagement,involvement,参与，投入
engender,"construct, inaugurate",产生，引起
enigmatic,"ambiguous, cryptic, difficult, inscrutable, mysterious",神秘的，难以捉摸的
enjoin,proscribe,命令，禁止
enmity,hostility,敌意，仇恨
entice,placate,诱惑，诱使
entreaty,supplication,恳求，乞求
ephemera,trivia,短命之物，短暂事物
epitomize,personify,作为典范，概括
equalizing,leveling,平等化，使均衡
equivocation,vacillation,模棱两可，含糊其辞
erratic,unpredictable,不稳定无常的
eschew,"avoid, forswear",避开，戒绝
essential,conducive,至关重要的，本质的
esteem,embrace,尊敬，珍重
estimable,praiseworthy,值得尊敬的
euphoria,jubilation,狂喜，极度兴奋
euphoric,ecstatic,欣快狂喜的
evenhandedness,impartiality,公平，不偏不倚
evident,salient,明显的
evince,"betray, testify",表明，显露
exacerbate,worsen,使恶化，加重
exacting,"proscriptive, punctilious, stringent",严格苛刻的
exaction,rapacity,强求，勒索
exaggerate,"overestimate, overplay",夸大，夸张
exaggerated,hyperbolic,夸张的
exalt,venerate,赞美，提高
exasperating,frustrating,令人极度恼火的
excellent,agreeable,优秀的
exceptional,"anomalous, atypical",异常的，杰出的
exceptionless,uniform,无一例外的
excess,surfeit,过量，过度
excessive,extravagant,过度的
exclude,obviate,排除，排斥
excoriate,lambast,严厉指责
exculpate,absolve,开脱罪责
exemplar,"illustration, paragon",榜样，典范
exhaustion,bankruptcy,筋疲力尽，耗尽
exhaustive,thorough,详尽全面的
exotic,anomalous,异国风情的，外来的
expansive,forthcoming,健谈的，广阔的
expedient,"advantageous, convenient",权宜的，有利的
expendable,superfluous,可牺牲的，非必需的
experimental,unorthodox,实验性的，创新的
explication,elucidation,阐释，说明
explicit,unambiguous,直截了当的，明确的
exploit,utilize,利用，开发
expostulate,remonstrate,规劝，抗议
extempore,offhand,即兴的
extensive,wide-ranging,广阔的，广泛的
extol,acclaim,赞扬，推崇
extract,"distill, ferret out",提取，提炼
extraneous,peripheral,无关的，外来的
extrapolate,project,推断，外推
extrapolation,projection,推论，外推法
extravagant,"excessive, overstated, sensational",奢侈的，过度的
fabrication,canard,编造，捏造
fabulous,legendary,极好的，传说的
fade,wane,褪色，衰退
faithful,rigorous,忠实的，准确的
fallacious,specious,谬误的
false,feigned,虚假的
familiar,recognizable,熟悉的
fanciful,chimerical,空想的，不切实际的
fanfare,acclaim,夸耀，大张旗鼓
fastidious,finicky,挑剔苛求的
fathom,comprehend,彻底理解
faultlessness,perfection,完美无瑕
favor,aid,喜爱，偏袒，帮助
favorable,propitious,有利的，赞许的
favored,privileged,受优待的
feasible,tenable,可行的
fecund,fertile,多产的，肥沃的
feigned,false,假装的
ferret out,extract,搜寻出，查明
fertile,"bountiful, fecund",多产的，肥沃的
fickleness,"capriciousness, unpredictability",变化无常
fiction,invention,虚构，谎言
finicky,fastidious,过分挑剔的
fixed,immutable,固定的
flag,languish,衰退，变弱
flawed,untenable,有缺陷的
fledgling,nascent,幼鸟，新生的
flexible,adaptable,灵活的，有弹性的
flout,"challenge, disown",公然蔑视，无视
flowering,advancement,繁荣，盛期
fluid,mutable,流动的，易变的
fluidity,mutability,流动性，变动性
flummox,baffle,使困惑
foolhardy,imprudent,鲁莽的，蛮干的
forbearing,charitable,宽容忍耐的
foreclose,eliminate,预先阻止，排除
foresighted,prescient,有先见之明的
form,architecture,形式，结构
formalize,codify,使正式化，定型
forswear,"abjure, eschew",宣誓放弃
forthcoming,expansive,坦诚的，即将到来的
fortuitous,"accidental, inadvertent, serendipitous",偶然幸运的
foster,encourage,培养，促进
fractious,irascible,易怒的，难管教的
fragility,impermanence,脆弱
fragmentary,piecemeal,支离破碎的
fraught,contentious,充满…的，令人忧虑的
free,unconstrained,自由的，不受约束的
freewheeling,independent,随心所欲的，自由放任的
fresh,novel,新颖的
frugal,"parsimonious, stinting",节俭的
frugality,thrift,节俭
fruitless,futile,徒劳的，无成果的
frustrate,"preclude, thwart",挫败，阻挠
frustrating,exasperating,令人沮丧的
fulsome,effusive,过分谄媚的，过多的
functional,serviceable,实用的，起作用的
furnish,provide,提供
furtive,covert,鬼鬼祟祟的，秘密的
fusion,"amalgamation,",融合，结合
fusty,archaic,陈腐过时的
futile,fruitless,无用的，徒劳的
futility,pointlessness,无用，徒劳
gainsay,"contradict, contravene, dispute",否认，反驳
gauge,indicator,评估，衡量
generality,abstraction,概要，普遍性
generosity,magnanimity,慷慨，宽宏大量
generous,"magnanimous, unstinting",慷慨的，大方的
genius,talent,天才，天赋
germ,seed,萌芽，发端
germane,apropos,密切相关的
go beyond,transcend,超越
gratified,upbeat,感到满足的
gratuitous,arbitrary,无根据的，不必要的
great,profound,伟大的，巨大的
gregarious,social,爱交际的，群居的
gullible,credulous,易受骗的
guzzle,swill,狂饮，暴饮
haphazard,arbitrary,随意的，无计划的
haphazardly,indiscriminately,随意地，胡乱地
harangue,rant,高谈阔论，长篇斥责
harden,"ossify, solidify",硬化，使变坚强
hardly,scarcely,几乎不
harmoniously,cooperatively,和谐地
harsh,acerbic,严厉的，刺耳的
healthy,robust,健康的，强健的
hedonistic,sybaritic,享乐主义的
heterogeneity,disparateness,异质性，多样性
heterogeneous,"complex, eclectic",多元多样的，混杂的
hidebound,illiberal,死板保守的
highlight,underscore,强调，突出
hindrance,obstacle,阻碍，障碍
histrionic,theatrical,戏剧化的，做作的
hodgepodge,pastiche,大杂烩，混杂物
homegrown,indigenous,本土的，土生土长的
homogeneity,uniformity,同质性
homogeneous,uniform,同质的
homogenous,uniform,同质的
hopefulness,anticipation,怀有希望
hostile,inhospitable,敌对的
hostility,"antagonism, enmity",敌意
humble,"chasten, plebeian",谦逊的，地位低下的
hybridity,eclecticism,杂交，混合性
hyperbolic,exaggerated,夸张的
hypocrisy,phoniness,虚伪
iconoclasm,unorthodoxy,打破旧习，反传统
iconoclastic,"subversive, unorthodox",打破传统反教条的
idealization,romanticization,理想化
idiosyncratic,atypical,特立独行的，特殊的
ill-advised,injudicious,不明智的
illiberal,hidebound,心胸狭隘的，偏狭的
illusory,misleading,虚幻的，假象的
illustration,exemplar,例证，图解
imaginable,conceivable,可想象的
imbalance,disparity,不平衡
imbued,permeated,灌输的，充满的
immanent,intrinsic,内在固有的
immaterial,irrelevant,不重要的，非物质的
immediacy,topicality,即时性，直观性
immoderation,profligacy,过度，无节制
immutable,"fixed, static",不可变的
impact,influence,影响，冲击
impart,convey,传授，给予
impartial,objective,公正客观的
impartiality,evenhandedness,公正，公平
impecunious,destitute,身无分文的，贫穷的
impede,dampen,阻碍
imperceptible,trivial,难以察觉的
imperious,coercive,专横跋扈的
impermanence,fragility,短暂，无常
impermanent,reversible,非永久的，短暂的
imperturbability,composure,沉着冷静
impetuous,careless,冲动的，鲁莽的
implacable,relentless,无法平息的，坚决的
impolitic,tactless,不明智的，失策的
important,significant,重要的
impossible,unattainable,不可能的
impoverished,infertile,贫困贫瘠的
impracticable,pointless,行不通的
imprecise,inexact,不精确的
improbable,"incredible, tenuous, unlikely",不大可能的
imprudent,foolhardy,轻率不明智的
inadequacy,deficiency,不足，不胜任
inadequate,scarce,不充分的
inadvertent,fortuitous,非故意的，疏忽的
inaugurate,engender,开创，使就职
inchoate,incipient,刚开始的，未完全成形的
incidental,peripheral,附带的，次要的
incipient,"inchoate, nascent",早期的，刚出现的
incompatible,"conflicting, opposed",不兼容的，冲突的
incompetence,ineptitude,无能
incongruent,dissonant,不一致的
inconsistent,antipathetic,不一致的，矛盾的
inconsonant,disparate,不和谐的，不一致的
inconstant,"capricious, variable",多变的，无常的
incontrovertible,indisputable,无可辩驳的
incorrigible,recalcitrant,无可救药的，屡教不改的
incredible,improbable,难以置信的
indefatigable,unflagging,不知疲倦的
indefensible,untenable,站不住脚的，不可辩护的
independence,autonomy,独立
independent,freewheeling,独立的
index,measure,指标，索引
indicator,gauge,指标，标志
indictment,denunciation,谴责，控告
indifference,apathy,冷漠
indigenous,homegrown,本土的，原产的
indiscreet,injudicious,不慎重的，轻率的
indiscriminately,haphazardly,不加区分地
indispensable,vital,不可或缺的
indisputable,incontrovertible,无可置疑的
indolent,lethargic,懒惰的
industry,assiduousness,勤勉，工业
ineluctable,"inevitable, requisite",不可避免的
inept,unequal,笨拙无能的
ineptitude,"incompetence, maladroitness",无能，笨拙
inertia,stasis,惯性，惰性
inessential,trivial,非本质的，无关紧要的
inevitable,"ineluctable, unavoidable",必然的，不可避免的
inexact,imprecise,不精准的
inextricable,intrinsic,分不开的，纠缠不清的
infamy,opprobrium,声名狼藉
inferiority,weakness,劣势，自卑
infertile,impoverished,不育的，贫瘠的
inflated,overblown,夸大的，通胀的
influence,"impact, inform, mediate",影响
inform,influence,通知，影响，赋予特色
ingenuous,simple,天真纯朴的
inhospitable,"hostile, unreceptive",不适宜居住的，不好客的
inimical,adverse,有害的，敌对的
injudicious,"ill-advised, indiscreet",不明智的
innate,intuitive,天生的，固有的
innovation,"novelty, originality",创新
innovative,original,创新的
insalubrious,noxious,有害健康的
insatiability,voraciousness,贪得无厌
inscrutable,"cryptic, enigmatic",难以理解的
insight,awareness,洞察力
insightful,sagacious,有深刻见解的
insignificant,trivial,微不足道的
insipid,"banal, vapid",枯燥乏味的
insist,assert,坚持
inspirational,animating,鼓舞人心的
instability,uncertainty,不稳定
instrument,vehicle,手段，工具
insular,parochial,心胸狭隘的，孤立的
integrated,interwoven,综合整合的
integrity,probity,正直，完整
intelligibility,"lucidity, perspicuity, simplicity",易懂，明晰
intelligible,lucid,可理解的，明白易懂的
intensify,magnify,加剧，增强
intention,aspiration,意图
interwoven,integrated,交织的
intractable,"recalcitrant, uncontrollable",棘手的，难管教的
intrepid,valiant,无畏勇敢的
intricacy,complexity,错综复杂
intrinsic,"immanent, inextricable",内在固有的
intuitive,innate,直觉的
invalid,baseless,无效的，无根据的
invariable,constant,不变的
invariant,static,恒定不变的
invention,"contrivance, fiction",发明，虚构
invigorating,refreshing,使人精力充沛的
inviolable,sacrosanct,不可侵犯的
involved,complicated,复杂的，有牵连的
involvement,engagement,参与，介入
irascible,"choleric, fractious",易怒的
irascibly,pugnaciously,易怒地
irony,paradox,讽刺
irrelevant,immaterial,不相关的
isolated,,孤立的，隔离的
jaded,cynical,厌倦的，疲惫的
jubilation,euphoria,欢欣，狂喜
judicious,"careful, discriminating, sensible",审慎明智的
justify,rationalize,证明…正当，辩解
lack,want,缺乏
lackluster,banal,平庸黯淡的
laconic,spare,言简意赅的
lacuna,elision,空白，空缺
lambast,"censure, deride, excoriate",痛斥，严责
languish,flag,衰弱，凋零
latitude,leeway,自由度，纬度
lay,avocational,外行的，世俗的
leave,cede,离开，委托
leeway,latitude,回旋余地
legendary,fabulous,传奇的
lethargic,indolent,没精打采的，昏睡的
lethargy,somnolence,无精打采，昏睡
leveling,equalizing,使平等，夷平
liable,apt,易于…的，有责任的
liberating,emancipatory,解放性的
lineage,pedigree,血统，世系
linear,straightforward,线性的，直接的
lines,demarcation,边界，界线
little,scant,很少的
living,unfolding,生动的，活着的
lofty,elevated,崇高的，高耸的
loose,tenuous,松散的，不精确的
lucid,"clear, intelligible, transparent",清晰易懂的
lucidity,"clarity, intelligibility",清晰明了
magic,allure,魔力，魅力
magnanimity,"benevolence, generosity",宽宏大量
magnanimous,generous,宽宏大量的
magnify,intensify,放大，夸大
mainstream,conventional,主流的
make out,recognize,辨认出，理解
maladroitness,ineptitude,笨拙
malleable,"pliable, soft",可塑的，易受影响的
manacle,rein in,束缚，限制
manifold,diverse,多样的
marginal,slight,边缘的，微小的
maritime,nautical,海事的，海洋的
marked,decisive,显著的
massive,monolithic,巨大的
mastery,virtuosity,精通，掌控
match,parallel,相配，匹敌
maturity,precociousness,成熟
meandering,circuitous,曲折蜿蜒的
measure,index,量度，衡量
mechanistically,automatically,机械地
mediate,influence,调解，影响
mediating,transitional,起中介作用的
mendacity,"disinformation, dissembling, prevarication",虚假，谎言
meticulous,scrupulous,谨小慎微的，严谨的
minimal,trivial,极小的，极少的
miscellaneous,"eclectic, random",各类杂攒的，混杂的
misguided,unwise,被误导的，不明智的
misleading,"artificial, illusory",具误导性的
mitigate,relieve,缓解，缓和
moderate,temper,温和的，节制
moderation,restraint,适度，温和
modest,"discretionary, slight, unremarkable",谦虚的，适度的
modification,revision,修改，修饰
modify,alter,修改
monolithic,massive,庞大单一的
moralizing,didactic,说教的
mournful,elegiac,哀伤的
multitudinous,myriad,大量的
murky,obscure,阴暗模糊的
mutability,fluidity,易变性
mutable,"alterable, fluid",可变的，易变的
myriad,multitudinous,无数的
mysterious,enigmatic,神秘的
narrow,"parochial, simplistic",狭隘的，变窄
nascent,"fledgling, incipient",初期的，刚萌芽的
nautical,maritime,航海的
naïve,unsophisticated,天真的，幼稚的
naïveté,"callowness, credulity",天真，幼稚
nebulous,amorphous,朦胧模糊的
neglect,"shirk, slight",忽视，疏忽
noise,distortion,噪音，干扰信息
normative,conventional,规范的，标准的
novel,"fresh, recent",新颖的
novelty,innovation,新奇
noxious,insalubrious,有害有毒的
nuanced,"complex, subtle",有细微差别的
nuancing,qualification,细微差别处理
nullify,"abrogate, vitiate",使无效，废除
objective,impartial,客观的
oblique,veiled,倾斜的，间接拐弯抹角的
obloquy,vitriol,谩骂，耻辱
obscure,"murky, unknown",晦涩费解的，鲜为人知的
obsession,preoccupation,痴迷，着魔
obstacle,"challenge, hindrance",障碍
obviate,exclude,消除，使不再需要
obvious,"patent, unprecedented",明显的
occult,arcane,神秘隐秘的
offhand,extempore,脱口而出的，即兴的
offset,counterbalance,抵消，补偿
ominous,portentous,不祥的
omission,elision,遗漏，省略
onerous,"arduous, wearisome",繁重艰巨的
opacity,abstruseness,晦涩，不透明
opportunism,self-interest,机会主义
opposed,"antagonistic, incompatible",反对的，敌对的
opprobrium,infamy,谴责，耻辱
origin,pedigree,起源
original,innovative,原创的，原先的
originality,innovation,独创性
orthodox,dogmatic,正统的
ossify,harden,僵化，骨化
outmoded,retrograde,过时的
outstrip,surpass,超过，胜过
overblown,inflated,夸张过头的
overestimate,exaggerate,高估
overplay,exaggerate,夸大
overstated,extravagant,夸大的
overused,trite,过度使用的，陈腐的
palliate,"allay, dampen",缓解，减轻
palpable,salient,可感知的，明显的
paradox,irony,悖论，矛盾
paragon,exemplar,模范，典范
parallel,match,匹敌，相似
parched,desiccated,干涸焦渴的
parochial,"insular, narrow",狭隘的，教区的
parsimonious,frugal,吝啬的，极度节俭的
parsimony,economy,吝啬，过度节约
partiality,predilection,偏爱，偏袒
partisan,"defender, sectarian",党派支持者，盲从偏袒的
partition,segment,分割，划分
pastiche,hodgepodge,东拼西凑的模仿作，大杂烩
patent,obvious,显而易见的
paucity,shortage,匮乏，缺少
pay,defray,支付
peculiar,curious,特有的，古怪的
pedestrian,prosaic,平淡无奇的
pedigree,"lineage, origin",门第，谱系
peevish,querulous,易怒暴躁的
penetrating,acute,敏锐深刻的
perceptive,"astute, discerning",敏锐洞察的
