id,stem,option1,option2,option3,option4,option5,option6,answer1,answer2,answer1_base,answer2_base
43,"Far from _______ innovations, as the patent system was designed to do, the patenting of concepts such as gene sequences gives individuals and corporations a legal chokehold over ideas that should be useful to all.",spurring,recognizing,codifying,acknowledging,fostering,cataloging,spurring,fostering,spur,foster
44,"Advocates for workers’ rights have adopted a new strategy, one that will require considerable ingenuity but that, if successful, could _______ a movement aimed at making labor rights an unassailable feature of American democracy.",frustrate,galvanize,presume,affect,animate,thwart,galvanize,animate,galvanize,animate
45,"Anne Carson’s book Nox is, very deliberately, _______ literary object, the opposite of an e-reader, which is designed to vanish in your palm as you read on a train.",an evanescent,a cumbersome,an immutable,an unwieldy,an ephemeral,a flexible,a cumbersome,an unwieldy,cumbersome,unwieldy
46,"One of the peculiarities of humans is that we irrationally gravitate to the predictable and avoid risk; whatever the reasons for this _______, it is hardly a sound basis for dealing with complex, long-term problems.",eccentricity,predilection,vacillation,proclivity,wavering,cowardice,predilection,proclivity,predilection,proclivity
47,"Williamson had a fierce commitment to achieving an accord, spending an enormous amount of time trying to forge a consensus out of an often _______ assembly.",apathetic,fractious,restive,cynical,compliant,tractable,fractious,restive,fractious,restive
48,"One _______ is that so far, web services have turned out to be much harder to deliver than their champions had hoped.",hope,snag,prospect,hitch,upshot,reason,snag,hitch,snag,hitch
49,"Science is arguably a very high-minded pursuit, but that is not to say that all of its practitioners are _______, as numerous articles alleging overly generous pharmaceutical industry payments to medical researchers have tried to show.",conventional,clever,unimpeachable,ingenious,blameless,predictable,unimpeachable,blameless,unimpeachable,blameless
50,"In a field of egotists, Bloomfield is _______, often praising her competitors and punctuating her correspondence with self-deprecating remarks.",unassuming,complimentary,acerbic,ingenuous,cutting,modest,unassuming,modest,unassuming,modest
51,"Because its previously _______ beliefs had become core tenets of mainstream politics, the activist group disbanded; with no more skeptics to persuade, its purpose had evaporated.",arcane,seditious,quixotic,idealistic,popular,conventional,quixotic,idealistic,quixotic,idealistic
52,"Although scientific progress leads to constant revision of ideas, one observation that has remained _______ over the years is that there are a lot of insects in the world: some 950,000 species have been identified.",robust,significant,strong,perplexing,confounding,obscure,robust,strong,robust,strong
53,"After rising continuously over the summer, commodity prices fell, leaving analysts wondering whether the downward trend is a turning point or merely a _______ before demand picks up in the winter months.",spike,upsurge,harbinger,portent,lull,respite,lull,respite,lull,respite
54,"Doris Kearns Goodwin’s elegant, incisive study of Lincoln _______ those whose knowledge of Lincoln is an amalgam of high school history and popular mythology as well as those who are experts.",gratifies,entices,inspires,confuses,perplexes,pleases,gratifies,pleases,gratify,please
55,"Explorers could not build on each other’s knowledge if they could not trust records of previous explorers; thus exploration depended on the _______ of those who had gone before.",collegiality,endurance,exactitude,meticulousness,eminence,tenacity,exactitude,meticulousness,exactitude,meticulousness
56,"Well organized and researched and including all significant discoveries and medical scientists, this history of Western medicine has justly been called _______.",encyclopedic,long-winded,exhaustive,rambling,overbearing,undiscriminating,encyclopedic,exhaustive,encyclopedic,exhaustive
57,"Though it may seem as if more than a century of _______ has made the electrical grid an all-encompassing web connecting the whole of the continent, many vast and beautiful areas remain without power.",refinement,expansion,ubiquity,augmentation,omnipresence,isolation,expansion,augmentation,expansion,augmentation
58,"Much of the literature of railroads seeks someone to _______, and it is thus replete with encomiums on entrepreneurs and managers.",indict,rehabilitate,exalt,valorize,emulate,excoriate,exalt,valorize,exalt,valorize
59,"Not only was this writer content to leave the reading public in the dark, she seems to have _______ the role of trickster, seeding her works with apparent clues that led nowhere.",rejected,disdained,relished,participated in,delighted in,developed,relished,delighted in,relish,delight
60,"The major _______ of much popular history is that it betrays no interest in making intellectual contributions to our understanding of an issue.",characteristic,shortcoming,dilemma,quandary,ploy,fault,shortcoming,fault,shortcoming,fault
61,"The jazz style called bebop was born and nurtured in New York City, and despite a _______ initial reception, it resonated three thousand miles away on the West Coast.",wary,warm,confused,muddled,convivial,hostile,confused,muddled,confused,muddled
62,"Despite the _______ of medical information available through e-mail, the Internet, and mobile devices, not many patients are taking advantage of the potential of electronic communications for health-related needs.",wealth,complexity,intricacy,profusion,resurgence,overload,wealth,profusion,wealth,profusion
63,"Reversing a decade-long trend on global _______, earth’s surface has become brighter since 1990, scientists are reporting.",warming,cooling,diffusing,dimming,darkening,heating,dimming,darkening,dimming,darkening
64,"All Shaker furniture implies _______ humanism in design: the Shakers made objects that look like objects, following a nonhuman law of design and rejecting the unconscious self-flattery inherent in making anthropomorphic objects.",a rejection of,a liberation from,a belief in,an affinity for,an attraction to,a misunderstanding of,a rejection of,a liberation from,rejection,liberation
65,"The controversial social analysis that Moynihan offered in the 1960s is now generally recognized as having been prescient; in fact, it has been the _______ upon which much of our discussion of social pathology must base.",concession,bedrock,imperative,compromise,foundations,vision,bedrock,foundations,bedrock,foundation
66,"The Great Lakes wolf is a _______, stumping scientists as to whether it is a subspecies of the gray wolf or a distinct species.",prototype,riddle,paragon,model,legend,conundrum,riddle,conundrum,riddle,conundrum
67,"The book aims to illuminate how science has changed the meaning of nothingness from _______ philosophical concept to something we can almost put under a microscope.",a tangible,a palpable,a nebulous,a nettlesome,an incontrovertible,a vague,a nebulous,a vague,nebulous,vague
68,"Readers have long considered Lawd Today!, Richard Wright’s first written and last published novel, _______; the novel simply seems inconsistent with the image of what a Wright text should do or be.",an artifact,a prototype,an anomaly,a mainstay,an aberration,a model,an anomaly,an aberration,anomaly,aberration
69,"It is hardly _______ for today’s film to try to blur the boundaries between the moral and the immoral. Hollywood has been doing that since at least the 1960s.",entertaining,original,novel,pertinent,relevant,insightful,original,novel,original,novel
70,"For those of us who have been intoxicated by the power and potential of mathematics, the mystery isn’t why that fascination developed but why it isn’t _______.",advantageous,discounted,prevalent,undervalued,celebrated,widespread,prevalent,widespread,prevalent,widespread
71,"The nation’s robust economic performance could be _______ by the persistent flaws in its economic institutions and structure that are the result of half-finished and misguided government policies.",neutralized,concealed,undermined,impaired,obscured,outstripped,undermined,impaired,undermine,impair
72,"An abundance of nutrient-rich pollution in estuaries causes algae to _______, much as houseplants grow better when their soil contains added fertilizer.",abound,proliferate,stagnate,coalesce,collect,diversify,abound,proliferate,abound,proliferate
73,"Taking to the mountains to escape the chaos occasioned by the collapse of the ruling dynasty, artists looked to nature for _______ and a serenity not evident in human society.",an order,a stability,a fragility,a decadence,an interaction,a degeneracy,an order,a stability,order,stability
74,"Changes made to ecosystems in order to achieve a goal, such as food production or flood control, often _______ significant unforeseen trade-offs between other important products and services the ecosystems provide.",predict,delay,foretell,obscure,yield,engender,yield,engender,yield,engender
75,"The union states its position polemically; its leaders say they are fighting to save good jobs while _______ corporations replace full-time workers with part-time ones in order to cut down on both wages and benefits.",precarious,enterprising,rapacious,troubled,influential,avaricious,rapacious,avaricious,rapacious,avaricious
76,"When the atmosphere over the city is at its best, it is peculiarly _______, and this clarity seems to distill the very special beauty of the place.",limpid,acute,calm,sharp,pellucid,tranquil,limpid,pellucid,limpid,pellucid
77,"The book brings together many valuable reports on conservation projects, but with less variety than might have been wished: nearly half the contributions are from the same state, and consequently, the case studies are similarly _______ geographically.",rudimentary,interdependent,interrelated,complex,heterogeneous,dissimilar,interdependent,interrelated,interdependent,interrelated
78,"Culture, like speech, is primarily a human faculty, although both functions may exist in a more _______ form in lesser primates.",indispensable,crucial,primitive,intelligible,recognizable,rudimentary,primitive,rudimentary,primitive,rudimentary
79,"Tompkinson’s prior donations to the university, while very generous, failed to _______ the magnitude of her latest gift.",compensate for,portend,clarify,predict,offset,undermine,portend,predict,portend,predict
80,"The first images of Jupiter’s moon Callisto show bright regions of material, as if older and darker ice had slid downhill and exposed the _______ ice underneath.",ancient,murky,pristine,unblemished,grimy,weathered,pristine,unblemished,pristine,unblemished
81,"Mortoris is dour and _______, seemingly incapable of smiling, let alone laughing.",mirthful,jovial,intelligent,tepid,lugubrious,gloomy,lugubrious,gloomy,lugubrious,gloomy
82,"His premiership, seemingly cast-iron a year ago, is now so vulnerable that even a good day at the office does no more than buy him a few weeks of _______ from rebels within his own party.",controversy,reproach,respite,relief,blame,deference,respite,relief,respite,relief
83,"Even before she went to art school, Veronica found the standard design categories _______: she didn’t understand why designing buildings and designing tables should require different sensibilities.",provocative,limiting,stimulating,confusing,confining,exhilarating,limiting,confining,limit,confine
84,"The author engages the subject from diverse perspectives, supports his argument well with many examples, and manages to avoid antagonizing others in dealing with a very _______ subject.",contentious,pedestrian,controversial,perplexing,mundane,intriguing,contentious,controversial,contentious,controversial
85,"Space is often referred to as the final frontier, as the only realm of which humankind has still to gain substantial understanding, yet the ocean is also another vast area about which our knowledge is _______.",erroneous,confusing,frustrating,rudimentary,delusive,sketchy,rudimentary,sketchy,rudimentary,sketchy
86,"Few ideas are more _______ than the notion that cultures evolve in Darwinian fashion; many academics have begun writing about cultural evolution, but few treat the underlying Darwinian logic with the care it deserves.",abused,archaic,misused,outdated,divisive,derivative,abused,misused,abuse,misuse
87,"After many years of feeling _______ by his senior managers, Clark was becoming hopeful of advancement.",vilified,stymied,hindered,aggrieved,circumvented,overlooked,stymied,hindered,stymie,hinder
88,"Readers looking for another condemnation of private equity firms should look elsewhere; this book is not _______ such firms.",a rant against,a diatribe on,an exculpation,a disquisition on,a vindication of,an argument about,a rant against,a diatribe on,rant,diatribe
89,"Although the biography never explicitly assesses what role the dynamic between Mr. Merrill’s parents might have played in the development of his personality, the author offers plenty of _______.",mystification,elucidation,speculation,reflection,obfuscation,conjecture,speculation,conjecture,speculation,conjecture
90,"There are great _______ in countries’ greenhouse gas emissions, especially in per capita terms: while the United States and China are similar in aggregate emissions, United States per capita emissions are a huge multiple of China’s.",distortions,disparities,fluctuations,advances,variances,vacillations,disparities,variances,disparity,variance
91,"There is frequently a protracted time interval between the introduction of an innovative musical composition and its public acceptance; the concert-going public often spurns the _______ in favor of the familiar for a prolonged period.",comprehensive,intricate,novel,original,intelligible,complex,novel,original,novel,original
92,"The concept of the Hellenistic period in ancient history has proved useful but also _______, with scholars disagreeing on the dates when the period began and ended.",slippery,elusive,fruitless,deceptive,futile,compelling,slippery,elusive,slippery,elusive
93,"A cure for the common cold has been so elusive that it has become a modern symbol of _______.",danger,futility,unease,pointlessness,sloth,apathy,futility,pointlessness,futility,pointlessness
94,"The dictator’s gleaming military uniform and imperial paraphernalia sharply contrast with the _______ fashion favored by most other contemporary political leaders.",unostentatious,modest,august,majestic,formal,casual,unostentatious,modest,unostentatious,modest
95,"If giant X-ray flares churn circumstellar disks enough to keep newborn planets, such as Earth once was, from spiraling into their suns, it would be an ironic twist on our conception of X-ray flares as _______.",dangerous,predictable,ancient,ephemeral,perilous,foreseeable,dangerous,perilous,dangerous,perilous
96,"The Chavez Pass archaeological site was initially interpreted as indicative of _______ society, since it was thought to have been at the center of a cluster of smaller, contemporary settlements that it presumably controlled.",an expansionist,a hierarchical,an urban,a heterogeneous,a diverse,a stratified,a hierarchical,a stratified,hierarchical,stratified
97,"Although the insistence on balancing spending against tax revenues has contributed to the economy’s stagnation, unfortunately, the government does not seem likely to _______ this rigid policy.",initiate,persist in,publicize,repudiate,continue,recant,repudiate,recant,repudiate,recant
98,"Although its director _______ that the movie uses a documentary approach in portraying the famous sit-down strike, in practice its characters are heavily fictionalized and fall into familiar Hollywood types.",asserts,concedes,guarantees,disputes,grants,maintains,asserts,maintains,assert,maintain
99,"For all the _______ the new CEO has received from the press recently, her staff have a decidedly less rosy view of her.",encomiums,tributes,evaluations,critiques,attention,publicity,encomiums,tributes,encomium,tribute
100,"In the absence of a surface gradient, the new laws of refraction and reflection are _______ the conventional laws, so they represent more of an extension than a complete revolution.",inferable from,entailed by,antithetical to,coincident with,antecedent to,oppositional to,inferable from,entailed by,inferable,entailed
101,"Flawed as it may be because it is conducted by subjective scientists, science itself has methods that help us _______ our biases and talk about objective reality with some validity.",bypass,reduce,exacerbate,magnify,acknowledge,circumvent,bypass,circumvent,bypass,circumvent
102,"In Japanese aesthetics, especially but not only in Noh, beauty contains the idea of _______: beauty must have an air of evanescence, the intimation of its own demise.",transience,symmetry,decay,simplicity,balance,deterioration,decay,deterioration,decay,deterioration
103,"The uniquely human ability to rethink and revise our social arrangements is a mixed blessing, allowing us to create systems that are as likely to _______ us as to liberate us.",cheer,shackle,admonish,educate,stifle,enliven,shackle,stifle,shackle,stifle
104,"While it is always clear that the author’s message is heartfelt, it is mostly buried by shortcomings of style, organization, and production, although the book does become more _______ toward the end.",sincere,intelligible,orthodox,readable,frank,voluble,intelligible,readable,intelligible,readable
105,"A clever form of diplomacy involves subtly inducing the other party to propose your preference so that your _______ their requests appears as the granting of a concession.",accession to,inattention to,subversion of,abnegation of,repudiation of,acquiescence to,accession to,acquiescence to,accession,acquiescence
106,"Films that critics have slumbered through rarely generate industry excitement, even though the critics’ _______ reception may be less the fault of the movie than of its unfortunate time slot near a fatiguing film festival’s conclusion.",somnolent,impartial,lethargic,laconic,befuddled,evenhanded,somnolent,lethargic,somnolent,lethargic
107,"Even the cleverest use of time management techniques is powerless to _______ the sum of minutes in a person’s life (over 52 million, optimistically assuming a life expectancy of 100 years), so people squeeze as much as they can into each one of them.",justify,quantify,augment,enrich,measure,extend,augment,extend,augment,extend
108,"Publicity surrounding celebrities’ donations to charity is often greeted with cynicism, but a study of celebrity donations shows that they do _______ other donations.",preclude,elicit,allow,draw,bar,replace,elicit,draw,elicit,draw
109,"Aerial viewings of the gigantic stone horse attributed to the Native American Quechan people fail to _______ the considerable artistry required to create the piece: the horse appears crudely constructed unless carefully examined from the ground.",reveal,justify,manifest,mitigate,diminish,undercut,reveal,manifest,reveal,manifest
110,"Jackie Wullschlager’s biography of Hans Christian Andersen _______ the insipid sweetness with which Andersen coated his life and reveals a vulnerable gingerbread man with a bitter almond where his heart should be.",conjures up,imagines,strips away,overlooks,removes,ignores,strips away,removes,strip away,remove
111,"The researcher noted that microbes, although _______, make up far more of the living protoplasm on Earth than all humans, animals, and plants combined.",invisible,omnipresent,diminutive,ubiquitous,minuscule,ethereal,diminutive,minuscule,diminutive,minuscule
112,"In Inuit culture, elaborate carving has often been used to enhance _______ objects such as harpoon heads and other tools.",utilitarian,functional,domestic,decorative,manufactured,ornamental,utilitarian,functional,utilitarian,functional
113,"Benjamin Franklin’s reputation is so much one of approaching scientific investigations with commonsense empiricism that it is somewhat startling to realize how _______ the great experimenter’s mentality truly was.",reasonable,speculative,pragmatic,conjectural,careless,judicious,speculative,conjectural,speculative,conjectural
114,"Scientists reported last month on a sign of relative solar _______: the solar wind, a rush of charged particles continually spewed from the Sun at a million miles an hour, had diminished to its lowest level in 50 years.",quiescence,turbulence,isolation,calm,remoteness,instability,quiescence,calm,quiescence,calm
115,"In a number of instances, investors hoping to tap into the region’s meteoric growth have instead faced problems ranging from unpredictable management practices to outright _______.",malfeasance,incompetence,fraudulence,capriciousness,hysteria,impulsiveness,malfeasance,fraudulence,malfeasance,fraudulence
116,"To call Kermode the finest English critic of his generation would be a _______ compliment, since not many of its population are professionally engaged in literary criticism.",sincere,backhanded,paltry,heartfelt,meager,plausible,paltry,meager,paltry,meager
117,"Even though the original settlement may not hold up, it at least proves that the deadlock can be broken and that a hitherto _______ party is ready to bargain.",implacable,unyielding,impeccable,flawless,unqualified,capricious,implacable,unyielding,implacable,unyielding
118,"In sharp contrast to the novel’s scenic realism and precisely characterized figures is its persistent philosophical _______.",naturalism,abstraction,generality,impartiality,sincerity,objectivity,abstraction,generality,abstraction,generality
119,"When studying the ancient Greek astronomers, Copernicus realized that despite the intrinsic beauty of many of their arguments, the ancients often made claims that _______ logic.",refuted,questioned,influenced,swayed,defied,disregarded,defied,disregarded,defy,disregard
120,"Although Wynne claims to recognize that _______ evidence is available to make definitive statements, she offers them nonetheless, arriving at some sweeping generalizations.",concrete,finite,insufficient,indirect,conclusive,meager,insufficient,meager,insufficient,meager
121,"In order to cultivate new repertoire, the music industry is providing a hearing for previously _______ female composers.",idle,thwarted,celebrated,renowned,anonymous,obscure,anonymous,obscure,anonymous,obscure
122,"Although many skeptics of the scientific theory _______ critiques that have long since been disproved, some of the doubters arguably bring up valid points.",overlook,revise,recycle,utilize,neglect,rehash,recycle,rehash,recycle,rehash
123,"It’s hardly _______ the committee calls for: rudimentary competence would be an improvement on the current chaos.",accountability,disarray,unruliness,faultlessness,loyalty,perfection,faultlessness,perfection,faultlessness,perfection
124,"One of the vocalists who auditioned for a leading part in the local production of Sweeney Todd seemed to prefer _______ to any attempt at producing a melody; a more unpleasant voice was hard to imagine.",warbling,imitating,improvising,shrieking,crooning,caterwauling,shrieking,caterwauling,shriek,caterwaul
125,"Even if the story now seems a surprisingly innocuous overture to the author’s later, more fully developed narrations, it _______ some of the key traits of those bleaker tales.",avoids,belies,undercuts,anticipates,possesses,prefigures,anticipates,prefigures,anticipate,prefigure
126,"While recognizing that recent reports of cyber warfare, phone-hacking scandals, and identity thefts have tended to accent the destructive connotation of the word, Sue Halpern maintains that “hacking” is such _______ term that its meaning nearly always derives from its context.",a generic,an inclusive,a positive,a subjective,an affirmative,a technical,a generic,an inclusive,generic,inclusive
127,"Joshua Gisemba Bagaka found that the pedagogical results of group projects and other engaged learning activities in Kenyan mathematics classrooms were _______; such activities, then, may not be the best way of improving mathematics education.",overstated,counterintuitive,mixed,discouraging,inconsistent,inexplicable,mixed,inconsistent,mixed,inconsistent
128,"Architects may be more extroverted and therefore the more _______ members of a bridge design team, but they are not always the most essential.",indispensable,conscientious,reliable,visible,valuable,salient,visible,salient,visible,salient
129,"Excessive focus on what might have been can cause in us feelings of restlessness and regret, but some scientists are beginning to think that fancying an alternative reality might have _______ effects as well.",subtle,adverse,restorative,pleasurable,unfavorable,tonic,restorative,tonic,restorative,tonic
130,"Apparent flaws in the sculptor’s work have not _______ its respectful reception by most modern critics.",determined,controlled,undermined,prevented,overshadowed,precluded,prevented,precluded,prevent,preclude
131,"The initial, widely shared pessimism turned out to be _______, because it ignored the many things that could be done with resources left behind.",unintelligible,unfathomable,unfounded,unimaginative,unjustified,unimportant,unfounded,unjustified,unfounded,unjustified
132,"Despite a tendency to be overtly _______, her poetry does not consist solely of pious sentiments: it often sparks the imagination and provides lively entertainment.",preachy,querulous,insincere,sanctimonious,plaintive,disingenuous,preachy,sanctimonious,preachy,sanctimonious
133,"William Perkins, his _______ speaking style notwithstanding, has long been seen as the moderate face of his political party.",fiery,genteel,bumbling,unremarkable,affable,impassioned,fiery,impassioned,fiery,impassioned
134,"Although in his new book he tends to repeat himself like a _______ uncle, McHughen makes a persuasive case for the safety of tinkering with genes to create new foods.",taciturn,reserved,prototypical,cantankerous,loquacious,garrulous,loquacious,garrulous,loquacious,garrulous
135,"In the northeastern United States, beaver populations had been critically reduced or even _______ in large areas at the end of the nineteenth century; as a result, several states instituted prohibitions on beaver trapping.",diminished,extirpated,eliminated,devalued,weakened,underrated,extirpated,eliminated,extirpate,eliminate
136,"The preliminary analysis is, on the whole, reassuring; its confirmation would _______ concerns about the dangers of the project.",explain,deflate,rationalize,soothe,reflect,hide,deflate,soothe,deflate,soothe
